"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"Evocation_Plaque4_Title","Stone Inscription"
"Evocation_Plaque4_Description","An inscribed stone plaque."
"Evocation_Plaque4_Content01","In memory of Fathiel Morvannion, Prince and General, who gave his life for the glory of the Empire in the crossing of the Falafyn River in the first year of the eastern campaign. His body rests with his comrades in arms, but those of his home town remember him."
"Evocation_Plaque5_Title","Stone Inscription"
"Evocation_Plaque5_Description","An inscribed stone plaque."
"Evocation_Plaque5_Content01","In memory of Galatheriel Amaneithon, Lady of the House of Amaneithon and beloved mother. Raised by her grieving son, Helarioth Amaneithon, who was kept from the funeral by his duty in Hyfrynas. He vows to raise a monument to her from the bones of sylvan rebels."
"Evocation_Plaque6_Title","Stone Inscription"
"Evocation_Plaque6_Description","An inscribed stone plaque."
"Evocation_Plaque6_Content01","In memory of Malirion Etharel of the House of Etharel in this city, who rose to become overseer of grain for the province of Afon-Dwar. He was murdered by a dwarf slave. Take warning, and trust not."
"Illusion_Armor1_Title","Placard"
"Illusion_Armor1_Description","A placard has been placed next to this suit of armor."
"Illusion_Armor1_Content01","The arms and armor of Morthannil Lirien, Admiral of the Southern Fleet, who led a storming party against the outer fortifications of Roughport in the Southern Isles and accepted the halfling surrender, later to be drowned when halfling pirates sank his flagship as it returned home."
"Illusion_Armor2_Title","Placard"
"Illusion_Armor2_Description","A placard has been placed next to this suit of armor."
"Illusion_Armor2_Content01","The arms and armor of Berien Tharanduil, Admiral-General of the Afon-Dwar and Lord Marshal of the West. Through strength and diplomacy he opened trade with the hill dwarves and brought an end to halfling raids along the river."
"Illusion_Notice1_Title","Notice"
"Illusion_Notice1_Description","A sign fixed to the wall, apparently for servants to read."
"Illusion_Notice1_Content01","Service. Loyalty. Silence."
"Illusion_Notice2_Title","Notice"
"Illusion_Notice2_Description","A sign fixed to the wall, apparently for servants to read."
"Illusion_Notice2_Content01","Please your master, save your life."
"Illusion_Notice3_Title","Notice"
"Illusion_Notice3_Description","A sign fixed to the wall, apparently for servants to read."
"Illusion_Notice3_Content01","The loyal report disloyalty."
"Illusion_Book1_Title","Illusion and Substance: A Primer"
"Illusion_Book1_Description","A book written in high elvish."
"Illusion_Book1_Content01","…as Master Irillien of the Arcaneum wrote in his great work ""On the Nature of Illusion and the Question of Reality,"" ""Many illusions, if believed, are as effective as if they were real; conversely, some realities, if ignored, may be avoided. Which, then, is more valid? What, indeed, is real, or reality? Was our great Empire, and our rightful mastery of the world and all who dwell therein, not a dream, which is a form of illusion, before our Iron Legions and our arcanists made it real?"""
"Illusion_Book1_Content02","There is some merit, therefore, in avoiding a distinction between illusion and reality, but regarding them instead as two poles of a continuum. Some things are entirely real, and some things are entirely illusory, but the numbers of each are far fewer than is commonly supposed. Most things lie somewhere in between, partaking of the natures of illusion and reality in differing proportions. Those who seek a true understanding of the nature of things, and the distinctions…"
"Illusion_Book2_Title","Human Gods and Their Magic"
"Illusion_Book2_Description","A book written in high elvish."
"Illusion_Book2_Content01","…exploration of the planes outside our own revealed the existence of all manner of strange entities, some of them exceptionally powerful. It is to be supposed that the world of Tirmar, from which the humans came with their gods, belongs in one of these planes, which somehow collided with our own during the events leading up to the Cataclysm, instead of remaining safely confined beyond a magical portal."
"Illusion_Book2_Content02","The reason for this is unknown. Several theories have been put forward, but none has been proven. Although they vary in their finer details, many theories blame the deity Sorr-Tarr, from whom the humans and their gods were fleeing as they entered Solasta. The scholars of the Arcaneum do not fully understand the class of beings called ""gods"" or ""deities,"" and while their human followers proudly assert that their powers are without limit, it is clear that this cannot be the case, or the Cataclysm would have been prevented. Still, this Sorr-Tarr, being a powerful entity of this class, might have sought to open the Rift wider, in order to facilitate the pursuit by his Sorr-Akkath followers and complete…"
"Illusion_Book3_Title","On Those Who Came from Tirmar"
"Illusion_Book3_Description","A book written in high elvish."
"Illusion_Book3_Content01","…humans and Sorr-Akkath are thought to be the only mortal beings to cross from Tirmar, the question of orcs and their kin must be taken into account. Human accounts of the matter are confused and often contradict each other, but a careful reading of the best sources suggests that the orcs were once human, and were altered by the wild magics that accompanied the closing of the Rift."
"Illusion_Book3_Content02","The human ancestors of the orcs were members of wild barbarian tribes from the more remote parts of Tirmar. Ferocity and courage in battle were the highest values in their culture, so when the forces of our two worlds combined at the Battle of the Rift, it was these tribes who sought out the most dangerous locations in order to win the most glory by the values of their culture. This brought them very close to the Rift itself, and therefore made them most vulnerable to the unpredictable magical energies that flared out from it. All of those who fought beside them perished, even the elite of the Iron Legions - but somehow these barbarians, strong of mind and strong of body, were able to survive. However, their bodies and minds were both affected, and they became the first orcs to exist in both worlds."
"Illusion_Book4_Title","Proverbs of Misaye"
"Illusion_Book4_Description","A small booklet written in the common tongue."
"Illusion_Book4_Content01","There is no such thing as luck, except when there is."
"Illusion_Book4_Content02","Misaye's greatest delight is the look on a dupe's face when they realize."
"Illusion_Book4_Content03","The fox who breaks into a henhouse is happier than the dog who guards it."
"Illusion_Book4_Content04","A life without laughter is no life at all."
"Illusion_Book4_Content05","Don't worry about death. Skeletons grin wider than anyone."
"Illusion_Book4_Content06","Everything is chaos, so enjoy it. You'll dissolve back into chaos soon enough."
"Illusion_Book4_Content07","The law is a rock in a stream. Everything flows round it or over it, and in time it will be worn away."
"BroochOfShielding_Unidentified_Title","Beautiful Brooch"
"BroochOfShielding_Unidentified_Description","A nice-looking brooch shaped like a shield. Probably magical."
"BroochOfShielding_Title","Brooch of Shielding"
"StaffOfHealing_Unidentified_Title","Magnificent Staff"
"StaffOfHealing_Unidentified_Description","A light and sturdy staff bearing golden runes. Probably magical."
"StaffOfHealing_Title","Staff of Healing"
"StaffOfHealing_Description","Life priests of Maraike often expend their last strength imbuing a staff of healing, so that life springs eternal. "
"PeriaptOPAPoison_Unidentified_Title","Black Gem Periapt"
"PeriaptOPAPoison_Unidentified_Description","A black gem on a silver chain."
"PeriaptOPAPoison_Title","Periapt of Proof Against Poison"
"PeriaptOPAPoison_Description","Galar Stormforge crafted the first periapt. They are much sought after by rulers and spies alike. "
"RingDarkvision_Unidentified_Title","Square Ring"
"RingDarkvision_Unidentified_Description","A beautiful ring, probably magical."
"RingDarkvision_Title","Ring of Darkvision"
"RingLanguages_Unidentified_Title","Hexagonal Ring"
"RingLanguages_Unidentified_Description","A beautiful ring, probably magical."
"RingLanguages_Title","Ring of All Words"
"FunctionGoodberryFeedOtherTitle","Eat"
"FunctionGoodberryEatTitle","Feed Someone"
"Item_Berry_Ration_Title","Goodberry"
"HalpfPlatePlus1_Title","Half Plate +1"
"HalpfPlatePlus1_Description","This magical armor was made for a knight of Gallivan. His name is engraved underneath the breastplate: Ramsay."
"HalpfPlatePlus1_Unidentified_Title","Splendid Half Plate Armor"
"HalpfPlatePlus1_Unidentified_Description","This magnificent armor seems very old and is finely crafted. It is probably magical."
"Ingredient_TigerDrakeScales_Description","Scales from a very large flying snake found in the Badlands."
"Ingredient_TigerDrakeScales_Title","Tiger Drake Scales"
"BoneKeep_Solar_Rune_Plaque_Title","Rune Plaque"
"BoneKeep_Solar_Rune_Plaque_Description","A depleted magical rune, probably used to ward a corridor. The enchantment is ancient, probably some forgotten spell from Imperial times."
"Magic_Arrow_Unidentified_Title","Remarkable Arrow"
"Magic_Arrow_Unidentified_Description","This arrow is remarkably light and sharp. It may be magical."
"Magic_Bolt_Unidentified_Title","Remarkable Crossbow Bolt"
"Magic_Bolt_Unidentified_Description","This bolt is remarkably light and sharp. It may be magical."
"ContainerTombTitle","Tomb"
"Item_Berry_Ration_Description","A magical berry created by a spell. It has healing properties and is nourishing as well as. Cannot be sold."
"ItemMartialWeaponSubtypeTitle","Martial Weapon"
"ItemSimpleWeaponSubtypeTitle","Simple Weapon"
"GauntletsOfOgrePower_Title","Gauntlets of Ogre Power"
"HeadbandOfIntellect_Title","Headband of Intellect"
"HeadbandOfIntellect_Unidentified_Title","Metallic Headband"
"HeadbandOfIntellect_Unidentified_Description","A nicely decorated headband."
"StoneOfGoodLuck_Title","Stone of Good Luck"
"BeltOfGiantFire_Title","Belt of Giant Strength (Fire)"
"BeltOfGiantStone_Title","Belt of Giant Strength (Stone)"
"CircletOfBlasting_Title","Circlet of Blasting"
"CircletOfBlasting_Description","A showy trinket created by Lanathir Goldenfire to impress primitive folks during the First Expansion. "
"CircletOfBlasting_Unidentified_Title","Magnificent Circlet"
"CircletOfBlasting_Unidentified_Description","A golden circlet decorated with a gem, probably holding some interesting powers."
"CloakOfProtection_Title","Cloak of Protection"
"CloakOfProtection_Description","An exquisitely tailored cloak, very much sought after by shock arcanists. A lost secret of Manacalon. "
"CloakOfProtection_Unidentified_Title","Beautiful Cloak"
"CloakOfProtection_Unidentified_Description","A nice-looking cloak with Manacalon symbols embroidered on the belt."
"Crown_Of_The_Magister_Item_01_Title","Imperial Crown"
"Crown_Of_The_Magister_Item_01_Description","The crown has revealed some of its powers. It can transmit images from the past to the bearer, and guide them to find its missing gems. It also provides magical protection and powers, depending on the gems it bears."
"Crown_Of_The_Magister_Item_ResistIdentification_Title","Imperial Crown"
"Crown_Of_The_Magister_Item_ResistIdentification_Description","The crown seems to provide superior protection against all kinds of magical inquiry, and you still don't know what it is. Yet it provides the bearer with magical protections and powers."
"RingOfFeatherFalling_Title","Ring of Feather Falling"
"RingOfFeatherFalling_Description","Fighting on Snow Alliance mountain made this ring a must for Imperial scouting parties. "
"RingOfFeatherFalling_Unidentified_Title","Winged Ring"
"RingOfFeatherFalling_Unidentified_Description","A beautiful ring with engraved wings."
"BracersOfDefense_Title","Bracers of Defense"
"BracersOfDefense_Description","Those bracers were the prized possession of a Manacalon shock arcanist."
"BracersOfDefense_Unidentified_Title","Magnificent Bracers"
"BracersOfDefense_Unidentified_Description","A pair of finely crafted bracers."
"CloakOfDisplacement_Title","Cloak of Displacement"
"CloakOfDisplacement_Description","A cloak commissioned by Lord Arador Blackheart after a series of assassination attempts."
"CloakOfDisplacement_Unidentified_Title","Beautiful Cloak"
"CloakOfDisplacement_Unidentified_Description","A dark cloak with golden embroidery."
"BootsOfJumping_Title","Boots of Striding and Springing"
"BootsOfJumping_Description","Defineth Sharpeye created these boots after watching his cat bounce around, seemingly defying gravity in her pursuit of mice and birds. "
"BootsOfJumping_Unidentified_Title","Nicely Crafted Boots"
"BootsOfJumping_Unidentified_Description","A pair of finely crafted boots."
"CloakOfElvenKind_Title","Cloak of Elvenkind"
"CloakOfElvenKind_Description","Crafted in Colthannin for human allies of the Realm protecting its borders."
"CloakOfElvenKind_Unidentified_Title","Elven Cloak"
"CloakOfElvenKind_Unidentified_Description","A beautiful cloak made of fine fabric and decorated with sylvan elvish symbols."
"DustOfDissapearance_Title","Dust of Disappearance"
"DustOfDissapearance_Description","Created by the Arcaneum, this dust was a favorite tool of the Silent Whisper in their fight against dissidence and rebellion. "
"DustOfDissapearance_Unidentified_Title","Pouch of Dust"
"DustOfDissapearance_Unidentified_Description","A pouch filled with a translucent powder."
"EfficientQuiver_Title","Efficient Quiver"
"EfficientQuiver_Description","TBC power"
"EfficientQuiver_Unidentified_Title","Nicely crafted quiver."
"EfficientQuiver_Unidentified_Description","A beautifully crafted quiver."
"GlovesOfMissileSnaring_Title","Gloves of Missile Snaring"
"GlovesOfMissileSnaring_Description","Crafted by Ildurial Stronghand for the members of the Euraidd tasked with the protection of the Imperial family."
"GlovesOfMissileSnaring_Unidentified_Title","Magnificent Gloves"
"GlovesOfMissileSnaring_Unidentified_Description","These sturdy gloves are very comfortable and may have magical properties."
"HornOfBlasting_Title","Horn of Blasting"
"HornOfBlasting_Description","You can use an action to speak the horn's Command Word and then blow the horn, which emits a thunderous blast in a 30-foot cone that is audible 600 feet away. Each creature in the cone must make a DC 15 Constitution saving throw. On a failed save, a creature takes 5d6 thunder damage and is deafened for 1 minute. On a successful save, a creature takes half as much damage and isn't deafened. Creatures and objects made of glass or crystal have disadvantage on the saving throw, and take 10d6 thunder damage instead of 5d6."
"HornOfBlasting_Unidentified_Title","Lion-headed Horn"
"HornOfBlasting_Unidentified_Description","A beautiful horn featuring a golden lion head that can be used to blow a powerful sound."
"OilOfSharpness_Title","Oil of Sharpness"
"OilOfSharpness_Description","This clear, gelatinous oil sparkles with tiny, ultrathin silver shards. The oil can coat one slashing or piercing weapon, or up to 5 pieces of slashing or piercing ammunition. Applying the oil takes 1 minute. For 1 hour, the coated item is magical and has a +3 bonus to attack and damage rolls."
"OilOfSharpness_Unidentified_Title","Strange Oil"
"OilOfSharpness_Unidentified_Description","A bottle containing a clear, gelatinous oil that sparkles with tiny, ultrathin silver shards."
"PeriaptOfHealth_Title","Periapt of Health"
"PeriaptOfHealth_Description","Clerics of Maraike often wear such periapts to stay in health to better serve the ailing. In dire need, they use the periapt on the sick to stabilize them while they work their healing magic. "
"PeriaptOfHealth_Unidentified_Title","Beautiful Pendant"
"PeriaptOfHealth_Unidentified_Description","A nice-looking pendant featuring a blue gem."
"DireWolfPeltTitle","Dire Wolf Pelt"
"DireWolfPeltDescription","A thick and beautiful pelt that can be sold for some gold."
"PartyStashTitle","Party Stash - It's Yours to Use!"
"MerranStashTitle","Captain Merran's Stash"
"MertonStashTitle","Unknown Party Stash"
"MertonsJournal_Title","Unfinished Biography"
"MertonsJournal_Description","A hand-written handbook, apparently used to draft a biography. The project seems to have been canceled after just a few lines."
"MertonsJournal_Content_00","Draft of Biography
Memories of a Shadow Tamer
By A. Merton
1022 A.C.

They were only a handful of brave explorers, the first ever since the Fall, to cross the mountains to the Old Empire. Their names: Khay, Annie, Betty, Arwin, Swen, Rhianna, and Hector.
Together, they were stronger than all the monsters of the Badlands.
Long before the Copperhead Road was found, they knew the paths and tunnels from Masgarth to Manacalon.
They brought back an old book with teachings of how to enchant primed weapons, and sold it to a dwarf lord of the Gormsdottir clan. That was the start of it all. Soon, all eyes turned to the Badlands. The thirst for the forgotten secrets of the Old Empire was growing.

The rest is scribbled."
"Item_Food_Ration_Created_Title","Magic Food Ration"
"Item_Food_Ration_Created_Description","Enough food for one day, created by magic. Cannot be sold."
"ArcaneShieldstaff_Title","Arcane Shieldstaff"
"ArcaneShieldstaff_Lore_Description","Shield staves are rare artifacts from ages long past. Crafted by an ancient mage during wartime, this staff promises to keep its user safe and free to focus on other magical pursuits, leaving defense to the staff."
"Brightwall_Title","Brightwall"
"Brightwall_Description","A relic that can be traced all the way back to Tirmar. References to Brightwall can be found in the rare texts describing epic fights against Soraks."
"PoisonVipersBiteDescription","A poison distilled from the venom glands of poisonous snakes. Can be applied to weapons for additional poison damage."
"PoisonVipersBiteTitle","Viper's Bite"
"Poison_BrimstoneFang_Title","Brimstone Fang"
"Poison_BrimstoneFang_Description","A poison crafted from the venomous fangs of a Brimstone Viper."
"Poison_TigerFang_Title","Tiger Fang"
"Poison_TigerFang_Description","A poison crafted from the venomous fangs of a Tiger Drake."
"Poison_DarkStab_Title","Dark Stab"
"Poison_DarkStab_Description","A poison crafted from the poison gland of a Badlands Spider."
"Poison_DeepPain_Title","Deep Pain"
"Poison_DeepPain_Description","A poison crafted from the venomous fangs of a Deep Spider."
"Poison_ArivadsKiss_Title","Arivad's Kiss"
"Poison_ArivadsKiss_Description","A poison crafted with the poisonous spine of a Sorak."
"Poison_ArunsLight_Description","A chemical poison that blinds an opponent for a short while."
"Poison_TheLongNight_Title","The Long Night"
"Poison_TheLongNight_Description","A poison crafted with scales of flying snakes, which consumes you from the inside."
"Poison_TheBurden_Title","The Burden"
"Poison_TheBurden_Description","A chemical poison that makes you feel like you're carrying a mountain."
"Poison_GhoulsCaress_Title","Ghoul's Caress"
"Poison_GhoulsCaress_Description","A terrifying chemical poison that can paralyze even the greatest fighter."
"Ingredient_SorakPoisonSpine_Title","Sorak Poisonous Spine"
"Ingredient_SorakPoisonSpine_Description","Taken from the corpse of a Sorak, this spine contains a poison that can be processed to be used on a weapon."
"Ingredient_TigerDrakeFang_Title","Tiger Drake Venom Gland"
"Ingredient_TigerDrakeFang_Description","Taken from the corpse of a Sorak, this spine contains a poison that can be processed to be used on a weapon."
"Ingredient_SpiderQueenPoisonGland_Title","Spider Queen Poison Gland"
"Ingredient_SpiderQueenPoisonGland_Description","Harvested from the body of a spider queen, these glands have mystical capabilities. In the hands of a capable enchanter, they can be used to craft deadly poisons or even poisoning weapons."
"ItemRingOfRegenerationDescription","An ancient ring created to keep warlords on their feet on the battlefield."
"ItemRingOfRegenerationUnidentifiedDescription","This ring bears symbols of life and health. It may have magical properties."
"ItemRingOfRegenerationTitle","Ring of Regeneration"
"Cog_of_Cohh_Title","Cog of Cohh"
"Cog_of_Cohh_Description","The exquisite craftsmanship of this cog ensures that the bearer is held in high regard by all who see him. And in a pinch, strong dwarven metal has been known to stop a blade!"
"Cog_of_Cohh_Unidentified_Title","Gear-shaped Shield"
"Cog_of_Cohh_Unidentified_Description","A giant gear of an ancient machine that lost its purpose countless years ago. It's much lighter than it looks, seemingly part of a larger whole. It has been equipped with a strap that makes it usable as a shield."
"Staff_of_Metis_Title","Staff of Metis"
"Staff_of_Metis_Description","TBC"
"Staff_of_Metis_Unidentified_Title","Acacia Staff"
"Staff_of_Metis_Unidentified_Description","Made out of a strong branch of an acacia tree, on the top end it holds a giant sapphire that has somehow grown into the branch."
"Abjuration_HolySymbol_Title","Antique Holy Symbol"
"Abjuration_HolySymbol_Description","This ancient holy symbol was probably owned by a cleric from Tirmar. It bears a cloud, a wave, and a flame."
"Abjuration_EmtansPackage_Title","Small Box"
"Abjuration_EmtansPackage_Description","An old wooden box."
"Enchanted_Rapier_Adder_Description","This enchanted weapon was forged with the ancient knowledge of Manacalon's master smiths, using a primed rapier and the venom of a legendary spider from Solasta's depths. The blade's designer was Griff Blackheart, a notorious Marsh halfling smith working in the forges of the Aer Elai."
"Backpack2Description","A creation of Eirollimon Apasseich, he ensured all Greenmages of the Coedymwarth on patrol had access to them. It is much more practical than it seems and increases your carrying capacity by a lot."
"Backpack3Description","This item was crafted to the specifications of Emperor Laethar the Gold Soul, who wanted treasures of the conquered province stocked in special bags. It is almost weightless and increases your carrying capacity enormously."
"Enchanted_Dagger_Souldrinker_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade."
"Enchanted_Breastplate_Of_Deflection_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Eldoril Puremind made it his life work to create armor that protects against a dagger in the back. This is his finest creation."
"Enchanted_Breastplate_Of_Sturdiness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of these armors for the Emperor's personal guard."
"Enchanted_Longsword_Frostburn_Description","This enchanted weapon was forged using the ancient knowledge of dwarven master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry."
"Enchanted_Longsword_Dragonblade_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Lestoreth Steelarm to fight in the frozen North of the Empire."
"Enchanted_Longbow_Lightbringer_Description","This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures."
"Enchanted_LeatherArmor_Of_Survival_Description","This enchanted armor was created using the ancient knowledge of Colthannin's master armorers. Medreth Sharpeye designed this garment to protect Coedymwarth scouts against Imperial magic."
"Enchanted_LeatherArmor_Of_Robustness_Description","This enchanted armor was created using the ancient knowledge of Colthannin's master armorers. Defineth Sharpeye stole and adapted Ildurial's design to the needs of Coedymwarth scouts."
"Enchanted_Halfplate_Of_Sturdiness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard. "
"Enchanted_Greatsword_Doom_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Kenaloth Darkmind devised the Doomblades as a tool of punishment for those who resisted the might of the Empire."
"Enchanted_EmpressGarb_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. It was originally design by Ildurial Stronghand as a wedding gift to Empress Cylloriel Wildspirit, the Warrior Empress. It does not require any armor proficiency and places no limit on DEX modifier."
"Enchanted_Longsword_Warden_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Ildurial Stronghand, a famous Manacalon bladesmith. The first such blade, the Manacalon Warden, was offered to the commander of the Euraidd."
"Enchanted_Longsword_Storm_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Galar Stormforge, the first dwarven smith to harness the power of the storm in a weapon - to devastating effect!"
"Item_Food_Ration_Foraged_Title","Foraged food"
"Item_Food_Ration_Foraged_Description","A ration of food made with the result of your hunting and foraging while traveling. It has not been prepared to last long and must be consumed quickly."
"FunctionGemOfSeeingTitle","Truesight"
"GemOfSeeingDescription","Such gems are usually found as holy relics in the temples of Einar, as they can help detect shapechangers. They are used on Einar's holy days for various rituals. "
"GemOfSeeingTitle","Gem of Seeing"
"GemOfSeeingUnidentifiedDescription","A beautiful gem that facets reflect light in multicolored hues."
"GemOfSeeingUnidentifiedTitle","Multicolored Gem"
"BootsWingedDescription","Birdwatching is not easy when you can't fly. Millie Strongbreeze created these boots to pursue her passion for ornithology."
"BootsWingedTitle","Winged Boots"
"MinimalStrengthDescription","Minimal STR: {0}"
"Unidentified_Gauntlets_Description","Metallic gauntlets of superior craftsmanship."
"Unidentified_Gauntlets_Title","Magnificent Gauntlets"
"Unidentified_Slippers_Description","A pair of comfortable slippers that seem sturdy enough to walk the roads in."
"Unidentified_Slippers_Title","Slippers"
"StoneOfGoodLuck_Unidentified_Description","A beautiful pendant in the shape of a four-leaf clover."
"ManualOfBodilyHealth_Title","Manual of Bodily Health"
"ManualOfBodilyHealth_Function_Description","Avar Wiseheart surmounted a debilitating disease to win the dwarven games. He summarized his methods in this manual."
"ManualOfBodilyHealth_Unidentified_Title","Leather-bound Book"
"ManualOfBodilyHealth_Unidentified_Description","A book that contains a series of advice for those aiming to improve their health."
"ManualOfGainfulExercise_Title","Manual of Gainful Exercise"
"ManualOfGainfulExercise_Function_Description","Avar Wiseheart surmounted a debilitating disease to win the dwarven games. He summarized his methods in this manual."
"ManualOfGainfulExercise_Unidentified_Title","Leather-bound Book"
"ManualOfGainfulExercise_Unidentified_Description","A book that contains a series of advice for those aiming to get stronger."
"ManualOfQuicknessOfAction_Title","Manual of Quickness of Action"
"ManualOfQuicknessOfAction_Function_Description","Gifaliel Swiftfoot wrote this manual for her students at the Imperial Ballet School of Siothyrnas."
"ManualOfQuicknessOfAction_Unidentified_Title","Leather-bound Book"
"ManualOfQuicknessOfAction_Unidentified_Description","A book that contains a series of advice for those aiming to become more agile."
"ManualOfLeadership_Title","Tome of Leadership and Influence"
"ManualOfLeadership_Function_Description","The seminal leadership work of the Iron Legion's general officer course."
"ManualOfLeadership_Unidentified_Title","Leather-bound Book"
"ManualOfLeadership_Unidentified_Description","A book that contains a series of advice for those who aim to gain influence and leadership."
"ManualOfQuickThought_Title","Tome of Quick Thought"
"ManualOfQuickThought_Function_Description","The distilled learnings of Manacalon scholars, this tome has fascinated generations of arcanists. "
"ManualOfQuickThought_Unidentified_Title","Leather-bound Book"
"ManualOfQuickThought_Unidentified_Description","A book that contains a series of advice for those aiming to become smarter."
"ManualOfUnderstanding_Title","Tome of Understanding"
"ManualOfUnderstanding_Function_Description","Inspired by Pakri, this tome has brought a deep faith in higher (or lower) powers to many agnostics."
"ManualOfUnderstanding_Unidentified_Title","Leather-bound Book"
"ManualOfUnderstanding_Unidentified_Description","A book that contains a series of advice for those aiming to grow wiser."
"BootsOfTheWinterlandDescription","Lestoreth Steelarm created these boots to accompany the Iron Legion on a march through the frozen North. "
"BootsOfTheWinterlandTitle","Boots of the Winterlands"
"CloakOfArachnida_Title","Cloak of Arachnida"
"CloakOfArachnida_Description","The masters of the Darkweavers' Guild were the first users of such cloaks!"
"CloakOfArachnida_Unidentified_Title","Beautiful Cloak"
"CloakOfArachnida_Unidentified_Description","A rich cloak embroidered with silvery threads."
"ChimeOfOpening_Title","Chime of Opening"
"ChimeOfOpening_Function_Description","Use to cast the Knock spell and open a chest or door. After ten uses, the item is destroyed."
"ChimeOfOpening_Unidentified_Title","Silver Chime"
"ChimeOfOpening_Unidentified_Description","A nice silver chime with minuscule elvish runes engraved on it."
"BracersOfArcheryDescription","A favorite of Colthannin border patrols. "
"_Item_RingOfProtection_plus_one_Description","A ring first devised to protect shock arcanists fighting the Empire's battles. Awarded upon graduation from the Arcaneum. "
"Backpack3_Unidentified_Title","Nice-looking Bag"
"Backpack3_Unidentified_Description","This bag seems too small to be of any use to an adventurer, unless it has hidden magical properties."
"Backpack2Title","Handy Haversack"
"BeltOfGiantHillStrength_Description","At the dawn of time, there was a confrontation between the giants and the elves. The elven arcanists didn't waste anything from the giants, harnessing their life essence to create powerful magical items."
"GauntletsOfOgrePower_Description","Arasdir Lighthand crafted these gauntlets, showing ogres the superiority of mind over matter. "
"RingDarkvision_Description","While wearing this ring, you have Darkvision just like an elf. Devised by an eccentric Manacalon arcanist specialized in light spells to ensure his famed cook, the island halfling Mildred Sharpnose, could deliver breakfast at all hours, without having to illuminate his studies. "
"RingLanguages_Description","While wearing this ring, you know every language in Solasta. A good master ensures all servants can understand orders; such a ring was given to overseers to avoid misunderstandings during the rule of the Manacalon Empire."
"BroochOfShielding_Description","Medreth Sharpeye forged those brooches to protect Coedymwarth scouts against the Imperial shock arcanists' most common spell. "
"HeadbandOfIntellect_Description","Fashioned by order of the merchant prince Elgareth Goldenmind to ensure his dynasty would survive the advent of less gifted successors."
"StoneOfGoodLuck_Description","A magic charm made with a green stone in the shape of a four-leaf clover. Misaye gave the first of these stones to her high priest as a sign of favor. "
"WandMagicMissileDescription","During the reign of the Manacalon Empire, every officer in the Iron Legion had such a wand - a symbol of their power and authority. "
"WandFearDescription","Manacalon overseers carried this wand to ensure obedience. "
"WandLightningBoltsDescription","A creation of Galar Stormforge, harnessing the power of lightning to give his dwarven brethren a chance against the might of the Manacalon Empire. "
"BootsLevitationDescription","After a couple of close calls in the mountains of the Snow Alliance, the Manacalon shock arcanists began to use these boots! "
"AmuletOfHealth_Lore_Description","This amulet was created by Marsh halfling mages in the olden times to help sick people survive the hardships of Olme Fen. "
"BeltOfDwarvenkind_Description","This belt was gifted to Callawin by the Kaikkonen after he rescued his son in a wild, daring action! A fit worthy of a dwarf, even if it was made by an elf! "
"NecklaceOfFireballsDescription","Medreth Sharpeye teamed up with a jeweler to craft this item to help raiding parties of the Coedymwarth fighting in Imperial territory."
"BootsOfElvenkind_Title","Boots of Elvenkind"
"BootsOfElvenkind_Description","Crafted in Colthannin for human allies of the Realm protecting its borders."
"MantleOfSpellResistance_Title","Mantle of Spell Resistance"
"MantleOfSpellResistance_Description","Medreth Sharpeye crafted this item to protect Coedymwarth scouts on their long-range forays. "
"MantleOfSpellResistance_Unidentified_Title","Beautiful Mantle"
"MantleOfSpellResistance_Unidentified_Description","A fine and nicely crafted mantle made of silk. Possibly magical."
"EndlessQuiver_Title","Endless Quiver of Colthannin"
"EndlessQuiver_Description","Enchanted by the ancient Greenmages of Colthannin, these quivers made sure they never ran out of arrows."
"EndlessQuiver_Unidentified_Title","Colthannin Quiver"
"EndlessQuiver_Unidentified_Description","A beautiful quiver made by sylvan elf craftsmen and decorated with symbols of their great forest."
"FunctionEndlessQuiverTitle","Generate Arrows"
"FunctionEndlessQuiverDescription","Generate 20 arrows."
"RingOfResistance_Fire_Title","Ring of Fire Resistance"
"RingOfResistance_Fire_Description","A Manacalon master of Abjuration created this ring to counter specific damage."
"RingOfResistance_Cold_Title","Ring of Cold Resistance"
"RingOfResistance_Cold_Description","A Manacalon master of Abjuration created this ring to counter specific damage."
"RingOfResistance_Necrotic_Title","Ring of Necrotic Resistance"
